Date,Cobre,Zinco,Aluminio,Chumbo,Estanho,Niquel,Dolar
2017-02-13,6111.0,2971.0,1867.5,2442.0,19660.0,10675.0,3.1108000278473
2017-02-14,6145.0,2934.0,1893.0,2415.0,19825.0,10825.0,3.0838000774384
2017-02-15,6016.0,2890.0,1871.0,2338.0,19955.0,10710.0,3.0564999580383
2017-02-16,6015.0,2836.0,1878.0,2273.0,19905.0,10875.0,3.0889000892639
2017-02-17,5939.0,2825.5,1865.5,2269.0,19755.0,10900.0,3.1034998893738
2017-02-20,6002.0,2860.5,1878.0,2275.0,19735.0,11045.0,3.0857999324799
2017-02-21,6034.0,2885.0,1878.0,2284.0,19900.0,11020.0,3.0947999954224
2017-02-22,5976.0,2860.0,1873.0,2290.0,19660.0,10710.0,3.0627999305725
2017-02-23,5991.0,2841.0,1882.5,2270.0,19150.0,10635.0,3.0610001087189
2017-02-24,5881.0,2822.0,1877.0,2231.0,19250.0,10680.0,3.1098001003265
2017-02-27,5927.0,2813.5,1908.0,2257.0,19310.0,10900.0,3.1082999706268
2017-02-28,5936.0,2813.0,1895.0,2272.0,19200.0,10870.0,3.1082999706268
2017-03-01,6040.0,2872.0,1934.0,2287.0,19375.0,11000.0,3.0887999534607
2017-03-02,5994.0,2845.0,1929.0,2273.0,19330.0,10900.0,3.1558001041412
2017-03-03,5910.0,2796.0,1909.0,2247.5,19425.0,10900.0,3.1140999794006
2017-03-06,5856.0,2729.5,1868.0,2223.0,19215.0,10895.0,3.1380999088287
2017-03-07,5807.0,2702.0,1858.0,2220.0,19345.0,10920.0,3.1191999912262
2017-03-08,5782.0,2701.0,1881.0,2240.0,19430.0,10520.0,3.1623001098633
2017-03-09,5655.0,2655.5,1847.0,2227.0,19225.0,10100.0,3.1925001144409
2017-03-10,5714.5,2697.5,1884.5,2258.0,19300.0,10030.0,3.1377999782562
2017-03-13,5794.0,2745.0,1882.0,2284.5,19305.0,10145.0,3.1517999172211
2017-03-14,5747.0,2697.0,1851.0,2210.5,19700.0,10090.0,3.1638000011444
2017-03-15,5850.0,2752.0,1863.0,2217.0,20070.0,10185.0,3.1027998924255
2017-03-16,5911.0,2836.0,1895.0,2267.0,20175.0,10290.0,3.1203000545502
2017-03-17,5889.0,2847.0,1901.0,2260.0,20450.0,10200.0,3.091500043869
2017-03-20,5891.0,2860.5,1908.0,2280.5,20530.0,10060.0,3.0713000297546
2017-03-21,5765.5,2857.5,1918.0,2284.0,20575.0,10105.0,3.0878000259399
2017-03-22,5712.0,2817.5,1910.0,2319.0,20475.0,9950.0,3.0857999324799
2017-03-23,5790.5,2816.0,1913.0,2363.0,20375.0,9915.0,3.1394999027252
2017-03-24,5782.5,2804.5,1917.5,2346.0,20100.0,9920.0,3.126100063324
2017-03-27,5673.5,2759.0,1916.0,2305.0,19550.0,9710.0,3.138799905777
2017-03-28,5774.5,2765.0,1918.5,2308.0,19925.0,9740.0,3.1222999095917
2017-03-29,5847.0,2809.0,1931.0,2308.0,20075.0,9915.0,3.1486001014709
2017-03-30,5860.0,2833.0,1955.0,2340.0,20075.0,9935.0,3.1217999458313
2017-03-31,5849.0,2782.5,1946.5,2310.0,20100.0,9875.0,3.114000082016
2017-04-03,5817.0,2746.0,1948.5,2287.0,20225.0,9965.0,3.0957999229431
2017-04-04,5724.5,2704.0,1938.0,2275.0,20035.0,9865.0,3.1210000514984
2017-04-05,5808.5,2770.0,1962.0,2314.5,20195.0,10170.0,3.1424999237061
2017-04-06,5870.5,2777.0,1956.0,2327.5,20350.0,10320.0,3.1454999446869
2017-04-07,5770.0,2665.0,1929.5,2260.0,20375.0,9950.0,3.144700050354
2017-04-10,5731.0,2658.5,1929.0,2260.0,20400.0,10100.0,3.144700050354
2017-04-11,5746.0,2580.0,1907.5,2261.0,20125.0,10050.0,3.1317999362946
2017-04-12,5685.0,2565.0,1907.0,2251.0,20075.0,9710.0,3.1368000507355
2017-04-13,5655.0,2561.5,1890.0,2256.0,19750.0,9695.0,3.1235001087189
2017-04-14,,,,,,,3.1424000263214
2017-04-17,,,,,,,3.1436998844147
2017-04-18,5620.5,2581.0,1915.5,2185.0,19885.0,9545.0,3.1303000450134
2017-04-19,5600.5,2546.0,1895.5,2148.0,19875.0,9455.0,3.1064999103546
2017-04-20,5611.5,2605.0,1933.0,2160.5,19905.0,9380.0,3.1482999324799
2017-04-21,5601.0,2582.0,1932.5,2142.0,19900.0,9395.0,3.1470999717712
2017-04-24,5612.0,2600.0,1928.0,2155.0,19600.0,9270.0,3.1468000411987
2017-04-25,5652.5,2590.0,1943.0,2173.0,19525.0,9235.0,3.1270000934601
2017-04-26,5677.5,2610.5,1957.5,2191.0,19850.0,9255.0,3.1472001075745
2017-04-27,5686.5,2614.0,1954.5,2237.0,19925.0,9190.0,3.1710999011993
2017-04-28,5688.5,2639.0,1930.0,2280.0,19850.0,9485.0,3.1810998916626
2017-05-01,,,,,,,3.1761000156403
2017-05-02,5746.5,2639.5,1909.0,2250.0,20100.0,9485.0,3.1751000881195
2017-05-03,5636.5,2600.0,1916.0,2225.0,19850.0,9280.0,3.1501998901367
2017-05-04,5543.0,2570.0,1909.5,2177.0,20000.0,9010.0,3.1621000766754
2017-05-05,5530.5,2577.0,1907.0,2190.0,19930.0,8935.0,3.1849000453949
2017-05-08,5466.0,2579.0,1879.0,2159.5,19850.0,9070.0,3.1777000427246
2017-05-09,5496.0,2632.0,1874.0,2182.0,19900.0,9190.0,3.1963999271393
2017-05-10,5512.0,2592.0,1870.0,2175.0,19840.0,9195.0,3.1868000030518
2017-05-11,5580.5,2615.0,1887.0,2196.0,20100.0,9370.0,3.1656999588013
